sample_name	fq1	f12
Control1	Control1_S92_L001_R1_001.fastq.gz	Control1_S92_L001_R2_001.fastq.gz
Control2	Control2_S185_L001_R1_001.fastq.gz	Control2_S185_L001_R2_001.fastq.gz
Control3	Control3_S216_L001_R1_001.fastq.gz	Control3_S216_L001_R2_001.fastq.gz
F3D141	F3D141_S207_L001_R1_001.fastq.gz	F3D141_S207_L001_R2_001.fastq.gz
F3D142	F3D142_S208_L001_R1_001.fastq.gz	F3D142_S208_L001_R2_001.fastq.gz
F3D143	F3D143_S209_L001_R1_001.fastq.gz	F3D143_S209_L001_R2_001.fastq.gz
M1D0	M1D0_S191_L001_R1_001.fastq.gz	M1D0_S191_L001_R2_001.fastq.gz
M1D1	M1D1_S150_L001_R1_001.fastq.gz	M1D1_S150_L001_R2_001.fastq.gz
M1D2	M1D2_S302_L001_R1_001.fastq.gz	M1D2_S302_L001_R2_001.fastq.gz
Mock1	Mock1_S93_L001_R1_001.fastq.gz	Mock1_S93_L001_R2_001.fastq.gz
